CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Household type including census family structure (11),a,Notes: Household type including census family structure (11),Dim: Household income statistics (3): Member ID: [1]: Total - Household income statistics (Note: 3),Dim: Household income statistics (3): Member ID: [2]: Median total income of households ($),Dim: Household income statistics (3): Member ID: [3]: Median after-tax income of households ($)
2016,9330047.02,2,47.02,5.1,0,933004702,One-census-family households without additional persons,3,,890,96896,82651
2016,9330047.02,2,47.02,5.1,0,933004702,One couple census family without other persons in the household,4,,815,100416,86400
2016,9330047.02,2,47.02,5.1,0,933004702,Without children,5,,660,96683,82496
2016,9330047.02,2,47.02,5.1,0,933004702,With children,6,,155,127744,102912
2016,9330047.02,2,47.02,5.1,0,933004702,One lone-parent census family without other persons in the household,7,,75,59520,52864
2016,9330047.02,2,47.02,5.1,0,933004702,With a male lone parent,8,,10,0,0
2016,9330047.02,2,47.02,5.1,0,933004702,With a female lone parent,9,,60,54912,48896
2016,9330047.02,2,47.02,5.1,0,933004702,Other census family households,10,2,15,0,0
2016,9330047.02,2,47.02,5.1,0,933004702,Non-census-family households,11,,1775,56597,47962
2016,9330048,2,48,4.3,0,933004800,Total - Household type including census family structure,1,1,4775,67149,57232
2016,9330048,2,48,4.3,0,933004800,Census family households,2,,1955,111531,93659
2016,9330048,2,48,4.3,0,933004800,One-census-family households without additional persons,3,,1910,111445,93550
2016,9330048,2,48,4.3,0,933004800,One couple census family without other persons in the household,4,,1715,117614,98688
2016,9330048,2,48,4.3,0,933004800,Without children,5,,1260,110226,93111
2016,9330048,2,48,4.3,0,933004800,With children,6,,455,147456,120491
2016,9330048,2,48,4.3,0,933004800,One lone-parent census family without other persons in the household,7,,200,49152,44928
2016,9330048,2,48,4.3,0,933004800,With a male lone parent,8,,30,69376,65152
2016,9330048,2,48,4.3,0,933004800,With a female lone parent,9,,165,48512,43392
2016,9330048,2,48,4.3,0,933004800,Other census family households,10,2,45,122880,109312
2016,9330048,2,48,4.3,0,933004800,Non-census-family households,11,,2820,48405,42055
2016,9330049.01,2,49.01,5.4,0,933004901,Total - Household type including census family structure,1,1,7725,89971,74957
2016,9330049.01,2,49.01,5.4,0,933004901,Census family households,2,,3905,125834,104802
2016,9330049.01,2,49.01,5.4,0,933004901,One-census-family households without additional persons,3,,3810,125893,104822
2016,9330049.01,2,49.01,5.4,0,933004901,One couple census family without other persons in the household,4,,3500,131170,108125
2016,9330049.01,2,49.01,5.4,0,933004901,Without children,5,,2555,128352,106606
2016,9330049.01,2,49.01,5.4,0,933004901,With children,6,,945,135623,112811
2016,9330049.01,2,49.01,5.4,0,933004901,One lone-parent census family without other persons in the household,7,,315,66133,55712
2016,9330049.01,2,49.01,5.4,0,933004901,With a male lone parent,8,,55,94464,83200
2016,9330049.01,2,49.01,5.4,0,933004901,With a female lone parent,9,,260,60672,52224
2016,9330049.01,2,49.01,5.4,0,933004901,Other census family households,10,2,95,121600,104192
2016,9330049.01,2,49.01,5.4,0,933004901,Non-census-family households,11,,3820,65024,54600
2016,9330049.02,2,49.02,5.9,0,933004902,Total - Household type including census family structure,1,1,3145,78176,66871
2016,9330049.02,2,49.02,5.9,0,933004902,Census family households,2,,1670,110251,93286
2016,9330049.02,2,49.02,5.9,0,933004902,One-census-family households without additional persons,3,,1625,109867,92864
2016,9330049.02,2,49.02,5.9,0,933004902,One couple census family without other persons in the household,4,,1395,121813,101984
2016,9330049.02,2,49.02,5.9,0,933004902,Without children,5,,925,120235,100693
2016,9330049.02,2,49.02,5.9,0,933004902,With children,6,,470,125312,103680
2016,9330049.02,2,49.02,5.9,0,933004902,One lone-parent census family without other persons in the household,7,,240,63616,55808
2016,9330049.02,2,49.02,5.9,0,933004902,With a male lone parent,8,,45,64896,54912
2016,9330049.02,2,49.02,5.9,0,933004902,With a female lone parent,9,,185,63360,55936
2016,9330049.02,2,49.02,5.9,0,933004902,Other census family households,10,2,45,126720,111872
2016,9330049.02,2,49.02,5.9,0,933004902,Non-census-family households,11,,1475,49888,43360
2016,9330050.02,2,50.02,5.3,0,933005002,Total - Household type including census family structure,1,1,3475,50670,45150
2016,9330050.02,2,50.02,5.3,0,933005002,Census family households,2,,1410,77141,67426
2016,9330050.02,2,50.02,5.3,0,933005002,One-census-family households without additional persons,3,,1300,75725,66458
2016,9330050.02,2,50.02,5.3,0,933005002,One couple census family without other persons in the household,4,,1055,86272,74069
2016,9330050.02,2,50.02,5.3,0,933005002,Without children,5,,710,76160,66688
2016,9330050.02,2,50.02,5.3,0,933005002,With children,6,,345,110720,94635
2016,9330050.02,2,50.02,5.3,0,933005002,One lone-parent census family without other persons in the household,7,,240,41813,39168
2016,9330050.02,2,50.02,5.3,0,933005002,With a male lone parent,8,,40,46720,43776
2016,9330050.02,2,50.02,5.3,0,933005002,With a female lone parent,9,,200,39872,38784
2016,9330050.02,2,50.02,5.3,0,933005002,Other census family households,10,2,110,104448,94379
2016,9330050.02,2,50.02,5.3,0,933005002,Non-census-family households,11,,2065,36512,32338
2016,9330050.03,2,50.03,8.4,100,933005003,Total - Household type including census family structure,1,1,3680,58832,50765
2016,9330050.03,2,50.03,8.4,100,933005003,Census family households,2,,1410,93056,79573
2016,9330050.03,2,50.03,8.4,100,933005003,One-census-family households without additional persons,3,,1365,93042,79488
2016,9330050.03,2,50.03,8.4,100,933005003,One couple census family without other persons in the household,4,,1235,98880,83925
2016,9330050.03,2,50.03,8.4,100,933005003,Without children,5,,935,97280,83200
2016,9330050.03,2,50.03,8.4,100,933005003,With children,6,,300,101120,88128
2016,9330050.03,2,50.03,8.4,100,933005003,One lone-parent census family without other persons in the household,7,,125,41387,38272
2016,9330050.03,2,50.03,8.4,100,933005003,With a male lone parent,8,,25,27264,26624
2016,9330050.03,2,50.03,8.4,100,933005003,With a female lone parent,9,,100,45312,41856
2016,9330050.03,2,50.03,8.4,100,933005003,Other census family households,10,2,45,94464,87296
2016,9330050.03,2,50.03,8.4,100,933005003,Non-census-family households,11,,2265,44089,38752
2016,9330050.04,2,50.04,6.1,100,933005004,Total - Household type including census family structure,1,1,1870,43995,39808
2016,9330050.04,2,50.04,6.1,100,933005004,Census family households,2,,665,71040,62165
2016,9330050.04,2,50.04,6.1,100,933005004,One-census-family households without additional persons,3,,625,70298,61632
2016,9330050.04,2,50.04,6.1,100,933005004,One couple census family without other persons in the household,4,,525,74709,66099
2016,9330050.04,2,50.04,6.1,100,933005004,Without children,5,,345,73344,63957
2016,9330050.04,2,50.04,6.1,100,933005004,With children,6,,180,78592,71168
2016,9330050.04,2,50.04,6.1,100,933005004,One lone-parent census family without other persons in the household,7,,95,35755,35072
2016,9330050.04,2,50.04,6.1,100,933005004,With a male lone parent,8,,15,0,0
2016,9330050.04,2,50.04,6.1,100,933005004,With a female lone parent,9,,80,37504,35968
2016,9330050.04,2,50.04,6.1,100,933005004,Other census family households,10,2,45,92672,82688
2016,9330050.04,2,50.04,6.1,100,933005004,Non-census-family households,11,,1210,34795,30758
2016,9330051.01,2,51.01,3.7,0,933005101,Total - Household type including census family structure,1,1,1310,78746,69120
2016,9330051.01,2,51.01,3.7,0,933005101,Census family households,2,,860,114731,97365
2016,9330051.01,2,51.01,3.7,0,933005101,One-census-family households without additional persons,3,,730,111189,95147
2016,9330051.01,2,51.01,3.7,0,933005101,One couple census family without other persons in the household,4,,640,121600,101717
2016,9330051.01,2,51.01,3.7,0,933005101,Without children,5,,280,83456,73472
2016,9330051.01,2,51.01,3.7,0,933005101,With children,6,,365,140288,116992
2016,9330051.01,2,51.01,3.7,0,933005101,One lone-parent census family without other persons in the household,7,,85,57472,51584
2016,9330051.01,2,51.01,3.7,0,933005101,With a male lone parent,8,,15,0,0
2016,9330051.01,2,51.01,3.7,0,933005101,With a female lone parent,9,,75,61376,57472
2016,9330051.01,2,51.01,3.7,0,933005101,Other census family households,10,2,130,128000,113920
2016,9330051.01,2,51.01,3.7,0,933005101,Non-census-family households,11,,455,45120,39872
2016,9330051.02,2,51.02,4.5,0,933005102,Total - Household type including census family structure,1,1,1740,62752,55424
2016,9330051.02,2,51.02,4.5,0,933005102,Census family households,2,,1150,81344,72235
2016,9330051.02,2,51.02,4.5,0,933005102,One-census-family households without additional persons,3,,915,73289,64640
2016,9330051.02,2,51.02,4.5,0,933005102,One couple census family without other persons in the household,4,,740,81792,72576
2016,9330051.02,2,51.02,4.5,0,933005102,Without children,5,,300,61056,54528
2016,9330051.02,2,51.02,4.5,0,933005102,With children,6,,435,98112,86784
2016,9330051.02,2,51.02,4.5,0,933005102,One lone-parent census family without other persons in the household,7,,175,49024,45184
2016,9330051.02,2,51.02,4.5,0,933005102,With a male lone parent,8,,35,55424,49408
2016,9330051.02,2,51.02,4.5,0,933005102,With a female lone parent,9,,140,44160,41152
2016,9330051.02,2,51.02,4.5,0,933005102,Other census family households,10,2,235,109824,99584
2016,9330051.02,2,51.02,4.5,0,933005102,Non-census-family households,11,,590,32512,29568
2016,9330052.01,2,52.01,4.2,0,933005201,Total - Household type including census family structure,1,1,2225,53595,49463
2016,9330052.01,2,52.01,4.2,0,933005201,Census family households,2,,1435,73387,65664
2016,9330052.01,2,52.01,4.2,0,933005201,One-census-family households without additional persons,3,,1110,63957,57509
2016,9330052.01,2,52.01,4.2,0,933005201,One couple census family without other persons in the household,4,,845,72294,64102
2016,9330052.01,2,52.01,4.2,0,933005201,Without children,5,,345,51157,46464
2016,9330052.01,2,52.01,4.2,0,933005201,With children,6,,500,88320,79744
2016,9330052.01,2,52.01,4.2,0,933005201,One lone-parent census family without other persons in the household,7,,260,44096,40576
2016,9330052.01,2,52.01,4.2,0,933005201,With a male lone parent,8,,55,44672,42496
2016,9330052.01,2,52.01,4.2,0,933005201,With a female lone parent,9,,205,43136,40405
2016,9330052.01,2,52.01,4.2,0,933005201,Other census family households,10,2,325,106581,98048
2016,9330052.01,2,52.01,4.2,0,933005201,Non-census-family households,11,,790,23957,23376
2016,9330052.02,2,52.02,3.7,0,933005202,Total - Household type including census family structure,1,1,2215,68324,60864
2016,9330052.02,2,52.02,3.7,0,933005202,Census family households,2,,1550,88896,78251
2016,9330052.02,2,52.02,3.7,0,933005202,One-census-family households without additional persons,3,,1205,82880,73216
2016,9330052.02,2,52.02,3.7,0,933005202,One couple census family without other persons in the household,4,,990,90752,79718
2016,9330052.02,2,52.02,3.7,0,933005202,Without children,5,,385,68608,61056
2016,9330052.02,2,52.02,3.7,0,933005202,With children,6,,600,107264,92352
2016,9330052.02,2,52.02,3.7,0,933005202,One lone-parent census family without other persons in the household,7,,210,56704,51168
2016,9330052.02,2,52.02,3.7,0,933005202,With a male lone parent,8,,45,72832,63872
2016,9330052.02,2,52.02,3.7,0,933005202,With a female lone parent,9,,170,56192,51008
2016,9330052.02,2,52.02,3.7,0,933005202,Other census family households,10,2,350,114048,101803
2016,9330052.02,2,52.02,3.7,0,933005202,Non-census-family households,11,,660,33760,30229
2016,9330053.01,2,53.01,3.1,0,933005301,Total - Household type including census family structure,1,1,2460,74403,65312
2016,9330053.01,2,53.01,3.1,0,933005301,Census family households,2,,1625,94925,83456
2016,9330053.01,2,53.01,3.1,0,933005301,One-census-family households without additional persons,3,,1275,87113,75776
2016,9330053.01,2,53.01,3.1,0,933005301,One couple census family without other persons in the household,4,,1070,95049,82987
2016,9330053.01,2,53.01,3.1,0,933005301,Without children,5,,455,77952,68224
2016,9330053.01,2,53.01,3.1,0,933005301,With children,6,,610,106240,92160
2016,9330053.01,2,53.01,3.1,0,933005301,One lone-parent census family without other persons in the household,7,,210,60800,55168
2016,9330053.01,2,53.01,3.1,0,933005301,With a male lone parent,8,,40,70912,64384
2016,9330053.01,2,53.01,3.1,0,933005301,With a female lone parent,9,,170,53760,50176
2016,9330053.01,2,53.01,3.1,0,933005301,Other census family households,10,2,345,117760,106667
2016,9330053.01,2,53.01,3.1,0,933005301,Non-census-family households,11,,835,42112,37056
2016,9330053.02,2,53.02,6.2,100,933005302,Total - Household type including census family structure,1,1,1395,77894,67115
2016,9330053.02,2,53.02,6.2,100,933005302,Census family households,2,,890,99584,86315
2016,9330053.02,2,53.02,6.2,100,933005302,One-census-family households without additional persons,3,,730,94976,83072
2016,9330053.02,2,53.02,6.2,100,933005302,One couple census family without other persons in the household,4,,620,100693,85675
2016,9330053.02,2,53.02,6.2,100,933005302,Without children,5,,320,82773,71936
2016,9330053.02,2,53.02,6.2,100,933005302,With children,6,,305,113408,96256
2016,9330053.02,2,53.02,6.2,100,933005302,One lone-parent census family without other persons in the household,7,,105,66816,56192
2016,9330053.02,2,53.02,6.2,100,933005302,With a male lone parent,8,,35,72192,60032
2016,9330053.02,2,53.02,6.2,100,933005302,With a female lone parent,9,,75,54656,48768
2016,9330053.02,2,53.02,6.2,100,933005302,Other census family households,10,2,160,126635,111104
2016,9330053.02,2,53.02,6.2,100,933005302,Non-census-family households,11,,505,44352,38997
2016,9330054.01,2,54.01,4.5,0,933005401,Total - Household type including census family structure,1,1,1620,78976,69120
2016,9330054.01,2,54.01,4.5,0,933005401,Census family households,2,,1030,108715,93355
2016,9330054.01,2,54.01,4.5,0,933005401,One-census-family households without additional persons,3,,865,101461,87616
2016,9330054.01,2,54.01,4.5,0,933005401,One couple census family without other persons in the household,4,,735,113237,96102
2016,9330054.01,2,54.01,4.5,0,933005401,Without children,5,,365,97536,83712
2016,9330054.01,2,54.01,4.5,0,933005401,With children,6,,370,123136,106155
2016,9330054.01,2,54.01,4.5,0,933005401,One lone-parent census family without other persons in the household,7,,130,67840,60800
2016,9330054.01,2,54.01,4.5,0,933005401,With a male lone parent,8,,25,71424,62976
2016,9330054.01,2,54.01,4.5,0,933005401,With a female lone parent,9,,105,67243,59264
2016,9330054.01,2,54.01,4.5,0,933005401,Other census family households,10,2,170,135424,119168
2016,9330054.01,2,54.01,4.5,0,933005401,Non-census-family households,11,,585,48725,42411
2016,9330054.02,2,54.02,3.2,0,933005402,Total - Household type including census family structure,1,1,1575,78144,69604
2016,9330054.02,2,54.02,3.2,0,933005402,Census family households,2,,1170,97600,84882
2016,9330054.02,2,54.02,3.2,0,933005402,One-census-family households without additional persons,3,,915,88661,77875
2016,9330054.02,2,54.02,3.2,0,933005402,One couple census family without other persons in the household,4,,790,97600,84949
2016,9330054.02,2,54.02,3.2,0,933005402,Without children,5,,320,68736,60544
2016,9330054.02,2,54.02,3.2,0,933005402,With children,6,,475,115200,98202
2016,9330054.02,2,54.02,3.2,0,933005402,One lone-parent census family without other persons in the household,7,,130,56747,53077
2016,9330054.02,2,54.02,3.2,0,933005402,With a male lone parent,8,,20,65792,58496
2016,9330054.02,2,54.02,3.2,0,933005402,With a female lone parent,9,,105,56064,51584
2016,9330054.02,2,54.02,3.2,0,933005402,Other census family households,10,2,245,118272,107776
2016,9330054.02,2,54.02,3.2,0,933005402,Non-census-family households,11,,410,36864,32695
2016,9330055.01,2,55.01,4.3,0,933005501,Total - Household type including census family structure,1,1,2610,55698,48947
2016,9330055.01,2,55.01,4.3,0,933005501,Census family households,2,,1245,83200,73244
2016,9330055.01,2,55.01,4.3,0,933005501,One-census-family households without additional persons,3,,1060,79019,69427
2016,9330055.01,2,55.01,4.3,0,933005501,One couple census family without other persons in the household,4,,865,88013,76237
2016,9330055.01,2,55.01,4.3,0,933005501,Without children,5,,485,78848,67840
2016,9330055.01,2,55.01,4.3,0,933005501,With children,6,,380,99584,87808
2016,9330055.01,2,55.01,4.3,0,933005501,One lone-parent census family without other persons in the household,7,,200,45696,42573
2016,9330055.01,2,55.01,4.3,0,933005501,With a male lone parent,8,,35,53760,47872
2016,9330055.01,2,55.01,4.3,0,933005501,With a female lone parent,9,,165,43392,41536
2016,9330055.01,2,55.01,4.3,0,933005501,Other census family households,10,2,180,105216,93440
2016,9330055.01,2,55.01,4.3,0,933005501,Non-census-family households,11,,1370,38000,33744
2016,9330055.02,2,55.02,4.5,0,933005502,Total - Household type including census family structure,1,1,2440,50576,44651
2016,9330055.02,2,55.02,4.5,0,933005502,Census family households,2,,1010,79726,68992
2016,9330055.02,2,55.02,4.5,0,933005502,One-census-family households without additional persons,3,,925,77184,66688
2016,9330055.02,2,55.02,4.5,0,933005502,One couple census family without other persons in the household,4,,770,84416,74176
2016,9330055.02,2,55.02,4.5,0,933005502,Without children,5,,510,80384,70144
2016,9330055.02,2,55.02,4.5,0,933005502,With children,6,,260,91221,78784
2016,9330055.02,2,55.02,4.5,0,933005502,One lone-parent census family without other persons in the household,7,,150,34688,33792
2016,9330055.02,2,55.02,4.5,0,933005502,With a male lone parent,8,,30,51328,48000
2016,9330055.02,2,55.02,4.5,0,933005502,With a female lone parent,9,,125,31680,31520
2016,9330055.02,2,55.02,4.5,0,933005502,Other census family households,10,2,85,112896,102656
2016,9330055.02,2,55.02,4.5,0,933005502,Non-census-family households,11,,1425,37650,32960
2016,9330056.01,2,56.01,5.7,100,933005601,Total - Household type including census family structure,1,1,2400,41293,36960
2016,9330056.01,2,56.01,5.7,100,933005601,Census family households,2,,915,70912,63147
2016,9330056.01,2,56.01,5.7,100,933005601,One-census-family households without additional persons,3,,840,70912,62848
2016,9330056.01,2,56.01,5.7,100,933005601,One couple census family without other persons in the household,4,,655,83200,73088
2016,9330056.01,2,56.01,5.7,100,933005601,Without children,5,,440,77568,67840
2016,9330056.01,2,56.01,5.7,100,933005601,With children,6,,210,94464,81664
2016,9330056.01,2,56.01,5.7,100,933005601,One lone-parent census family without other persons in the household,7,,190,34432,32576
2016,9330056.01,2,56.01,5.7,100,933005601,With a male lone parent,8,,30,38016,36224
2016,9330056.01,2,56.01,5.7,100,933005601,With a female lone parent,9,,160,33493,32448
2016,9330056.01,2,56.01,5.7,100,933005601,Other census family households,10,2,75,71424,66389
2016,9330056.01,2,56.01,5.7,100,933005601,Non-census-family households,11,,1485,27200,25200
2016,9330056.02,2,56.02,4.4,0,933005602,Total - Household type including census family structure,1,1,2295,60946,53269
2016,9330056.02,2,56.02,4.4,0,933005602,Census family households,2,,1095,92902,80512
2016,9330056.02,2,56.02,4.4,0,933005602,One-census-family households without additional persons,3,,1000,91355,78272
2016,9330056.02,2,56.02,4.4,0,933005602,One couple census family without other persons in the household,4,,835,102741,88576
2016,9330056.02,2,56.02,4.4,0,933005602,Without children,5,,505,93611,80000
2016,9330056.02,2,56.02,4.4,0,933005602,With children,6,,330,115584,97664
2016,9330056.02,2,56.02,4.4,0,933005602,One lone-parent census family without other persons in the household,7,,160,42624,40064
2016,9330056.02,2,56.02,4.4,0,933005602,With a male lone parent,8,,30,63616,54144
2016,9330056.02,2,56.02,4.4,0,933005602,With a female lone parent,9,,135,38208,35456
2016,9330056.02,2,56.02,4.4,0,933005602,Other census family households,10,2,95,113792,97664
2016,9330056.02,2,56.02,4.4,0,933005602,Non-census-family households,11,,1200,42598,37325
2016,9330057.01,2,57.01,16.4,1100,933005701,Total - Household type including census family structure,1,1,1475,24299,23792
2016,9330057.01,2,57.01,16.4,1100,933005701,Census family households,2,,575,45184,42624
2016,9330057.01,2,57.01,16.4,1100,933005701,One-census-family households without additional persons,3,,550,44459,41728
2016,9330057.01,2,57.01,16.4,1100,933005701,One couple census family without other persons in the household,4,,400,52608,49536
2016,9330057.01,2,57.01,16.4,1100,933005701,Without children,5,,265,40320,37952
2016,9330057.01,2,57.01,16.4,1100,933005701,With children,6,,135,70656,65792
2016,9330057.01,2,57.01,16.4,1100,933005701,One lone-parent census family without other persons in the household,7,,155,33088,31424
2016,9330057.01,2,57.01,16.4,1100,933005701,With a male lone parent,8,,35,34432,33088
2016,9330057.01,2,57.01,16.4,1100,933005701,With a female lone parent,9,,120,32000,31040
2016,9330057.01,2,57.01,16.4,1100,933005701,Other census family households,10,2,25,78592,72448
2016,9330057.01,2,57.01,16.4,1100,933005701,Non-census-family households,11,,900,17408,17370
2016,9330057.02,2,57.02,10.9,1100,933005702,Total - Household type including census family structure,1,1,2230,33920,32016
2016,9330057.02,2,57.02,10.9,1100,933005702,Census family households,2,,1035,67755,60544
2016,9330057.02,2,57.02,10.9,1100,933005702,One-census-family households without additional persons,3,,910,62336,57216
2016,9330057.02,2,57.02,10.9,1100,933005702,One couple census family without other persons in the household,4,,705,83558,72789
2016,9330057.02,2,57.02,10.9,1100,933005702,Without children,5,,420,73387,63360
2016,9330057.02,2,57.02,10.9,1100,933005702,With children,6,,290,99584,84224
2016,9330057.02,2,57.02,10.9,1100,933005702,One lone-parent census family without other persons in the household,7,,200,27072,26432
2016,9330057.02,2,57.02,10.9,1100,933005702,With a male lone parent,8,,25,24512,24384
2016,9330057.02,2,57.02,10.9,1100,933005702,With a female lone parent,9,,175,27584,26816
2016,9330057.02,2,57.02,10.9,1100,933005702,Other census family households,10,2,125,97024,91392
2016,9330057.02,2,57.02,10.9,1100,933005702,Non-census-family households,11,,1195,18523,18449
2016,9330058,2,58,23.9,2200,933005800,Total - Household type including census family structure,1,1,2090,17051,17039
2016,9330058,2,58,23.9,2200,933005800,Census family households,2,,340,33984,32608
2016,9330058,2,58,23.9,2200,933005800,One-census-family households without additional persons,3,,325,33088,31552
2016,9330058,2,58,23.9,2200,933005800,One couple census family without other persons in the household,4,,220,51136,47296
2016,9330058,2,58,23.9,2200,933005800,Without children,5,,180,51328,45952
2016,9330058,2,58,23.9,2200,933005800,With children,6,,45,51072,47552
2016,9330058,2,58,23.9,2200,933005800,One lone-parent census family without other persons in the household,7,,100,21888,21845
2016,9330058,2,58,23.9,2200,933005800,With a male lone parent,8,,10,0,0
2016,9330058,2,58,23.9,2200,933005800,With a female lone parent,9,,95,21845,21803
2016,9330058,2,58,23.9,2200,933005800,Other census family households,10,2,20,95488,86272
2016,9330058,2,58,23.9,2200,933005800,Non-census-family households,11,,1750,13824,13760
2016,9330059.06,2,59.06,24.4,2200,933005906,Total - Household type including census family structure,1,1,4380,27258,25365
2016,9330059.06,2,59.06,24.4,2200,933005906,Census family households,2,,935,92160,78720
2016,9330059.06,2,59.06,24.4,2200,933005906,One-census-family households without additional persons,3,,910,91392,78336
2016,9330059.06,2,59.06,24.4,2200,933005906,One couple census family without other persons in the household,4,,815,97984,82347
2016,9330059.06,2,59.06,24.4,2200,933005906,Without children,5,,670,99669,84139
2016,9330059.06,2,59.06,24.4,2200,933005906,With children,6,,145,89856,78421
2016,9330059.06,2,59.06,24.4,2200,933005906,One lone-parent census family without other persons in the household,7,,95,38784,37760
2016,9330059.06,2,59.06,24.4,2200,933005906,With a male lone parent,8,,10,0,0
2016,9330059.06,2,59.06,24.4,2200,933005906,With a female lone parent,9,,80,36480,35968
2016,9330059.06,2,59.06,24.4,2200,933005906,Other census family households,10,2,25,117760,100181
2016,9330059.06,2,59.06,24.4,2200,933005906,Non-census-family households,11,,3440,18938,18683
2016,9330059.07,2,59.07,5.2,0,933005907,Total - Household type including census family structure,1,1,2670,92599,76663
2016,9330059.07,2,59.07,5.2,0,933005907,Census family households,2,,1495,126379,102400
2016,9330059.07,2,59.07,5.2,0,933005907,One-census-family households without additional persons,3,,1445,126379,102400
2016,9330059.07,2,59.07,5.2,0,933005907,One couple census family without other persons in the household,4,,1315,133717,108459
2016,9330059.07,2,59.07,5.2,0,933005907,Without children,5,,965,133632,108117
2016,9330059.07,2,59.07,5.2,0,933005907,With children,6,,345,134144,109824
2016,9330059.07,2,59.07,5.2,0,933005907,One lone-parent census family without other persons in the household,7,,130,48000,43072
2016,9330059.07,2,59.07,5.2,0,933005907,With a male lone parent,8,,15,0,0
2016,9330059.07,2,59.07,5.2,0,933005907,With a female lone parent,9,,110,51328,43648
2016,9330059.07,2,59.07,5.2,0,933005907,Other census family households,10,2,55,123904,104960
2016,9330059.07,2,59.07,5.2,0,933005907,Non-census-family households,11,,1170,61952,52864
2016,9330059.08,2,59.08,5.6,0,933005908,Total - Household type including census family structure,1,1,3450,88789,74142
2016,9330059.08,2,59.08,5.6,0,933005908,Census family households,2,,1990,111974,94464
2016,9330059.08,2,59.08,5.6,0,933005908,One-census-family households without additional persons,3,,1905,112256,94606
2016,9330059.08,2,59.08,5.6,0,933005908,One couple census family without other persons in the household,4,,1635,126080,103616
2016,9330059.08,2,59.08,5.6,0,933005908,Without children,5,,995,128073,104960
2016,9330059.08,2,59.08,5.6,0,933005908,With children,6,,640,123355,102656
2016,9330059.08,2,59.08,5.6,0,933005908,One lone-parent census family without other persons in the household,7,,275,49536,46208
2016,9330059.08,2,59.08,5.6,0,933005908,With a male lone parent,8,,35,62848,55168
2016,9330059.08,2,59.08,5.6,0,933005908,With a female lone parent,9,,235,49408,45952
2016,9330059.08,2,59.08,5.6,0,933005908,Other census family households,10,2,80,102528,89856
2016,9330059.08,2,59.08,5.6,0,933005908,Non-census-family households,11,,1460,63360,53914
2016,9330059.09,2,59.09,9.3,100,933005909,Total - Household type including census family structure,1,1,4510,55936,47781
2016,9330059.09,2,59.09,9.3,100,933005909,Census family households,2,,1360,102059,86426
2016,9330059.09,2,59.09,9.3,100,933005909,One-census-family households without additional persons,3,,1315,101845,86272
2016,9330059.09,2,59.09,9.3,100,933005909,One couple census family without other persons in the household,4,,1210,105003,89643
2016,9330059.09,2,59.09,9.3,100,933005909,Without children,5,,1000,104602,88704
2016,9330059.09,2,59.09,9.3,100,933005909,With children,6,,205,108032,96000
2016,9330059.09,2,59.09,9.3,100,933005909,One lone-parent census family without other persons in the household,7,,105,56704,49792
2016,9330059.09,2,59.09,9.3,100,933005909,With a male lone parent,8,,20,0,0
2016,9330059.09,2,59.09,9.3,100,933005909,With a female lone parent,9,,90,57728,49536
2016,9330059.09,2,59.09,9.3,100,933005909,Other census family households,10,2,45,110336,94464
2016,9330059.09,2,59.09,9.3,100,933005909,Non-census-family households,11,,3150,42258,36590
2016,9330059.1,2,59.1,9.4,100,933005910,Total - Household type including census family structure,1,1,3925,62771,53703
2016,9330059.1,2,59.1,9.4,100,933005910,Census family households,2,,1270,105643,88064
2016,9330059.1,2,59.1,9.4,100,933005910,One-census-family households without additional persons,3,,1235,105813,88064
2016,9330059.1,2,59.1,9.4,100,933005910,One couple census family without other persons in the household,4,,1135,110912,93269
2016,9330059.1,2,59.1,9.4,100,933005910,Without children,5,,900,113024,94976
2016,9330059.1,2,59.1,9.4,100,933005910,With children,6,,235,105984,87893
2016,9330059.1,2,59.1,9.4,100,933005910,One lone-parent census family without other persons in the household,7,,100,45952,42880
2016,9330059.1,2,59.1,9.4,100,933005910,With a male lone parent,8,,25,46464,42112
2016,9330059.1,2,59.1,9.4,100,933005910,With a female lone parent,9,,80,45952,42880
2016,9330059.1,2,59.1,9.4,100,933005910,Other census family households,10,2,40,97280,88064
2016,9330059.1,2,59.1,9.4,100,933005910,Non-census-family households,11,,2650,46592,41408
2016,9330059.11,2,59.11,10.1,1100,933005911,Total - Household type including census family structure,1,1,4260,65920,56320
2016,9330059.11,2,59.11,10.1,1100,933005911,Census family households,2,,1495,104192,87150
2016,9330059.11,2,59.11,10.1,1100,933005911,One-census-family households without additional persons,3,,1430,104960,87296
2016,9330059.11,2,59.11,10.1,1100,933005911,One couple census family without other persons in the household,4,,1320,108288,90624
2016,9330059.11,2,59.11,10.1,1100,933005911,Without children,5,,1070,109824,91776
2016,9330059.11,2,59.11,10.1,1100,933005911,With children,6,,245,101120,85760
2016,9330059.11,2,59.11,10.1,1100,933005911,One lone-parent census family without other persons in the household,7,,115,51584,45952
2016,9330059.11,2,59.11,10.1,1100,933005911,With a male lone parent,8,,20,0,0
2016,9330059.11,2,59.11,10.1,1100,933005911,With a female lone parent,9,,95,47488,43648
2016,9330059.11,2,59.11,10.1,1100,933005911,Other census family households,10,2,65,94976,83712
2016,9330059.11,2,59.11,10.1,1100,933005911,Non-census-family households,11,,2760,49472,43029
